,country,doing_business_score,gdppc,poptotal,starting_business_score
0,Albania,82.0,13653.2015701651,2854191.0,53.0
1,Algeria,157.0,11521.9842097767,43053054.0,152.0
2,Angola,177.0,6712.02161540541,31825299.0,146.0
3,Antigua and Barbuda,113.0,21850.1334122252,97115.0,130.0
4,Argentina,126.0,22066.1010083881,44938712.0,141.0
5,Armenia,47.0,13653.7633812861,2957728.0,10.0
6,Australia,14.0,49309.1123989414,25365745.0,7.0
7,Austria,27.0,55833.559903835,8879920.0,127.0
8,Azerbaijan,28.0,14442.0408668016,10024283.0,9.0
9,"Bahamas, The",119.0,36522.4029910409,389486.0,94.0
10,Bahrain,43.0,45311.8683029627,1641164.0,67.0
11,Bangladesh,168.0,5550.03277751273,163046173.0,131.0
12,Barbados,128.0,15499.8082056746,287021.0,102.0
13,Belarus,49.0,19279.209247881,9419758.0,30.0
14,Belgium,46.0,51937.4236090476,11488980.0,48.0
15,Belize,135.0,7152.65741388462,390351.0,166.0
16,Benin,149.0,3287.30953781986,11801151.0,65.0
17,Bhutan,89.0,11864.766246616,763094.0,103.0
18,Bolivia,150.0,8724.47418740562,11513102.0,175.0
19,Bosnia and Herzegovina,90.0,14896.7965119383,3300998.0,184.0
20,Botswana,87.0,16404.4449053264,2303703.0,159.0
21,Brazil,124.0,14736.1560621677,211049519.0,138.0
22,Brunei Darussalam,66.0,62098.011379516,433296.0,16.0
23,Bulgaria,61.0,23265.8769207936,6975761.0,113.0
24,Cabo Verde,137.0,7171.8264247567,549936.0,121.0
25,Cambodia,144.0,4388.80090863251,16486542.0,187.0
26,Cameroon,167.0,3742.85677859297,25876387.0,104.0
27,Canada,23.0,49171.5110858739,37601230.0,3.0
28,Chile,59.0,24931.1218807485,18952035.0,57.0
29,China,32.0,15977.7638279876,1407745000.0,27.0
30,Colombia,67.0,14571.9909460979,50339443.0,95.0
31,Comoros,160.0,3058.98010494159,850891.0,158.0
32,"Congo, Rep.",180.0,3825.701479528,5380504.0,179.0
33,Costa Rica,74.0,20970.5441462292,5047561.0,144.0
